funcion,nombre_funcion,corrida,semilla,metodo,dimension,limites,posicion_inicial,posicion_final,valor_final,iteraciones,evaluaciones,parametros
schwefel,Schwefel,1,2010,gradient,2,"[-500.0, 500.0]","[-457.54802183959896, -94.96334648457815]","[-543.2428214531722, -121.91296369767736]",190.41923596633944,10000,10002,"{""max_iterations"": 10000, ""rate"": 0.001, ""tolerance"": 1e-06}"
schwefel,Schwefel,2,2011,gradient,2,"[-500.0, 500.0]","[427.3012957136265, 39.062513694498875]","[421.475540468999, 62.54977279733434]",356.55965605780483,10000,10002,"{""max_iterations"": 10000, ""rate"": 0.001, ""tolerance"": 1e-06}"
schwefel,Schwefel,3,2012,gradient,2,"[-500.0, 500.0]","[-428.69187956056567, -122.09018313176745]","[-494.6919580393901, -124.62045661985236]",592.455800963841,10000,10002,"{""max_iterations"": 10000, ""rate"": 0.001, ""tolerance"": 1e-06}"
schwefel,Schwefel,4,2013,gradient,2,"[-500.0, 500.0]","[175.44823982672403, 456.3481553648046]","[201.29597982959126, 423.93207030293246]",219.05456899853664,10000,10002,"{""max_iterations"": 10000, ""rate"": 0.001, ""tolerance"": 1e-06}"
schwefel,Schwefel,5,2014,gradient,2,"[-500.0, 500.0]","[-314.4188033033838, -198.3411416133548]","[-303.47041104402484, -156.19838674880324]",526.8533636480054,10000,10002,"{""max_iterations"": 10000, ""rate"": 0.001, ""tolerance"": 1e-06}"
schwefel,Schwefel,6,2015,gradient,2,"[-500.0, 500.0]","[237.59522759590857, 17.57154817475964]","[206.68850735164852, 5.679236854042439]",633.2705100492163,10000,10002,"{""max_iterations"": 10000, ""rate"": 0.001, ""tolerance"": 1e-06}"
schwefel,Schwefel,7,2016,gradient,2,"[-500.0, 500.0]","[396.7053564943452, 230.23921435629643]","[418.93705192180914, 205.97396970504002]",218.2551421125395,10000,10002,"{""max_iterations"": 10000, ""rate"": 0.001, ""tolerance"": 1e-06}"
schwefel,Schwefel,8,2017,gradient,2,"[-500.0, 500.0]","[-479.0397745938826, 267.07016468248776]","[-549.979154450734, 211.44649066140872]",96.9079762982825,10000,10002,"{""max_iterations"": 10000, ""rate"": 0.001, ""tolerance"": 1e-06}"
schwefel,Schwefel,9,2018,gradient,2,"[-500.0, 500.0]","[382.3493117539459, -395.67226213952233]","[417.53720246819245, -319.3840143839096]",155.53228783511872,10000,10002,"{""max_iterations"": 10000, ""rate"": 0.001, ""tolerance"": 1e-06}"
schwefel,Schwefel,10,2058,gradient,2,"[-500.0, 500.0]","[468.50444776144, 229.27681149870182]","[425.1409693749733, 205.88642550399726]",219.88565720507052,10000,10002,"{""max_iterations"": 10000, ""rate"": 0.001, ""tolerance"": 1e-06}"
schwefel,Schwefel,11,2059,gradient,2,"[-500.0, 500.0]","[286.32262145249786, -3.6141730849895453]","[222.02558093843126, 4.375480122684568]",673.7528630747946,10000,10002,"{""max_iterations"": 10000, ""rate"": 0.001, ""tolerance"": 1e-06}"
