funcion,nombre_funcion,corrida,semilla,metodo,dimension,limites,posicion_inicial,posicion_final,valor_final,iteraciones,evaluaciones,parametros
schwefel,Schwefel,1,2011,gradient,3,"[-500.0, 500.0]","[427.3012957136265, 39.062513694498875, -129.60918618480633]","[421.475540468999, 62.54977279733434, -125.19025064164467]",652.6831856432403,10000,10002,"{""max_iterations"": 10000, ""rate"": 0.001, ""tolerance"": 1e-06}"
schwefel,Schwefel,2,2012,gradient,3,"[-500.0, 500.0]","[-428.69187956056567, -122.09018313176745, -251.92540211447601]","[-494.6919580393901, -124.62045661985236, -297.29200712011425]",714.3458109024523,10000,10002,"{""max_iterations"": 10000, ""rate"": 0.001, ""tolerance"": 1e-06}"
schwefel,Schwefel,3,2013,gradient,3,"[-500.0, 500.0]","[175.44823982672403, 456.3481553648046, -232.42362373108438]","[201.29597982959126, 423.93207030293246, -292.41444362011885]",350.27589491198273,10000,10002,"{""max_iterations"": 10000, ""rate"": 0.001, ""tolerance"": 1e-06}"
schwefel,Schwefel,4,2014,gradient,3,"[-500.0, 500.0]","[-314.4188033033838, -198.3411416133548, -162.26205045545407]","[-303.47041104402484, -156.19838674880324, -128.26506318315654]",824.4855338630082,10000,10002,"{""max_iterations"": 10000, ""rate"": 0.001, ""tolerance"": 1e-06}"
schwefel,Schwefel,5,2015,gradient,3,"[-500.0, 500.0]","[237.59522759590857, 17.57154817475964, 384.189446294582]","[206.68850735164852, 5.679236854042439, 417.73080343312535]",634.5911186786557,10000,10002,"{""max_iterations"": 10000, ""rate"": 0.001, ""tolerance"": 1e-06}"
schwefel,Schwefel,6,2016,gradient,3,"[-500.0, 500.0]","[396.7053564943452, 230.23921435629643, 283.2757580057511]","[418.93705192180914, 205.97396970504002, 219.06711127492983]",464.68147675464456,10000,10002,"{""max_iterations"": 10000, ""rate"": 0.001, ""tolerance"": 1e-06}"
schwefel,Schwefel,7,2017,gradient,3,"[-500.0, 500.0]","[-479.0397745938826, 267.07016468248776, -52.08020019939784]","[-549.979154450734, 211.44649066140872, -28.39161281986332]",492.71757417820845,10000,10002,"{""max_iterations"": 10000, ""rate"": 0.001, ""tolerance"": 1e-06}"
schwefel,Schwefel,8,2018,gradient,3,"[-500.0, 500.0]","[382.3493117539459, -395.67226213952233, 407.00933351634046]","[417.53720246819245, -319.3840143839096, 419.8304033573373]",155.6957300270385,10000,10002,"{""max_iterations"": 10000, ""rate"": 0.001, ""tolerance"": 1e-06}"
schwefel,Schwefel,9,2019,gradient,3,"[-500.0, 500.0]","[403.4822144192743, -106.91949334975749, 123.96996129775334]","[419.53177110123517, -123.33860156806386, 113.94906213230541]",823.7688244093828,10000,10002,"{""max_iterations"": 10000, ""rate"": 0.001, ""tolerance"": 1e-06}"
schwefel,Schwefel,10,2059,gradient,3,"[-500.0, 500.0]","[286.32262145249786, -3.6141730849895453, 433.45781587722934]","[222.02558093843126, 4.375480122684568, 421.97073164136606]",673.8796033000385,10000,10002,"{""max_iterations"": 10000, ""rate"": 0.001, ""tolerance"": 1e-06}"
schwefel,Schwefel,11,2060,gradient,3,"[-500.0, 500.0]","[-319.78415835622457, 342.6213412920371, 412.3547546899541]","[-303.90644063976583, 410.71178717452375, 420.2726451936749]",131.89366417543647,10000,10002,"{""max_iterations"": 10000, ""rate"": 0.001, ""tolerance"": 1e-06}"
schwefel,Schwefel,12,2061,gradient,3,"[-500.0, 500.0]","[256.5818602125951, 212.15165127304704, -431.23733440131997]","[209.1894597987903, 204.46480040355095, -506.8096980676042]",604.6133473586877,10000,10002,"{""max_iterations"": 10000, ""rate"": 0.001, ""tolerance"": 1e-06}"
schwefel,Schwefel,13,2062,gradient,3,"[-500.0, 500.0]","[-259.61551647320334, 232.24351563601658, 35.182541982065345]","[-298.4243492152525, 206.1602429537484, 61.239695434372884]",696.1705113601378,10000,10002,"{""max_iterations"": 10000, ""rate"": 0.001, ""tolerance"": 1e-06}"
schwefel,Schwefel,14,2063,gradient,3,"[-500.0, 500.0]","[-449.1179615010572, 147.09194922918743, 236.6694942938642]","[-538.2085099007486, 195.6301278944665, 206.59349839435063]",359.4604446274343,10000,10002,"{""max_iterations"": 10000, ""rate"": 0.001, ""tolerance"": 1e-06}"
schwefel,Schwefel,15,2064,gradient,3,"[-500.0, 500.0]","[404.7436579347577, 333.346971134084, -410.7655884588404]","[419.6393056059707, 407.17134674217976, -342.80948925416004]",330.3447812761149,10000,10002,"{""max_iterations"": 10000, ""rate"": 0.001, ""tolerance"": 1e-06}"
schwefel,Schwefel,16,2065,gradient,3,"[-500.0, 500.0]","[262.45801374860275, -159.6739934189344, -156.18371143762124]","[210.32806044409807, -127.92478494593175, -127.510369711992]",816.9303126098309,10000,10002,"{""max_iterations"": 10000, ""rate"": 0.001, ""tolerance"": 1e-06}"
schwefel,Schwefel,17,2066,gradient,3,"[-500.0, 500.0]","[-343.8269644203378, -103.8929383030345, 317.86642795722116]","[-306.12004484689294, -123.03197233349438, 393.34333408466273]",508.18369398399886,10000,10002,"{""max_iterations"": 10000, ""rate"": 0.001, ""tolerance"": 1e-06}"
schwefel,Schwefel,18,2067,gradient,3,"[-500.0, 500.0]","[-308.731993104652, -498.36581364840094, 494.88357332688463]","[-303.0168845056795, -553.236664538735, 428.7224121812805]",-7.734811229131992,10000,10002,"{""max_iterations"": 10000, ""rate"": 0.001, ""tolerance"": 1e-06}"
schwefel,Schwefel,19,2068,gradient,3,"[-500.0, 500.0]","[286.4092314313658, 311.7566645883712, -331.7869015099075]","[222.12444893939406, 378.1142930171243, -304.93958978761594]",585.0382821327339,10000,10002,"{""max_iterations"": 10000, ""rate"": 0.001, ""tolerance"": 1e-06}"
schwefel,Schwefel,20,2060,gradient,3,"[-500.0, 500.0]","[-319.78415835622457, 342.6213412920371, 412.3547546899541]","[-303.90644063976583, 410.71178717452375, 420.2726451936749]",131.89366417543647,10000,10002,"{""max_iterations"": 10000, ""rate"": 0.001, ""tolerance"": 1e-06}"
schwefel,Schwefel,21,2061,gradient,3,"[-500.0, 500.0]","[256.5818602125951, 212.15165127304704, -431.23733440131997]","[209.1894597987903, 204.46480040355095, -506.8096980676042]",604.6133473586877,10000,10002,"{""max_iterations"": 10000, ""rate"": 0.001, ""tolerance"": 1e-06}"
schwefel,Schwefel,22,2062,gradient,3,"[-500.0, 500.0]","[-259.61551647320334, 232.24351563601658, 35.182541982065345]","[-298.4243492152525, 206.1602429537484, 61.239695434372884]",696.1705113601378,10000,10002,"{""max_iterations"": 10000, ""rate"": 0.001, ""tolerance"": 1e-06}"
schwefel,Schwefel,23,2063,gradient,3,"[-500.0, 500.0]","[-449.1179615010572, 147.09194922918743, 236.6694942938642]","[-538.2085099007486, 195.6301278944665, 206.59349839435063]",359.4604446274343,10000,10002,"{""max_iterations"": 10000, ""rate"": 0.001, ""tolerance"": 1e-06}"
schwefel,Schwefel,24,2064,gradient,3,"[-500.0, 500.0]","[404.7436579347577, 333.346971134084, -410.7655884588404]","[419.6393056059707, 407.17134674217976, -342.80948925416004]",330.3447812761149,10000,10002,"{""max_iterations"": 10000, ""rate"": 0.001, ""tolerance"": 1e-06}"
schwefel,Schwefel,25,2065,gradient,3,"[-500.0, 500.0]","[262.45801374860275, -159.6739934189344, -156.18371143762124]","[210.32806044409807, -127.92478494593175, -127.510369711992]",816.9303126098309,10000,10002,"{""max_iterations"": 10000, ""rate"": 0.001, ""tolerance"": 1e-06}"
