funcion,nombre_funcion,corrida,semilla,metodo,nombre_metodo,dimension,limites,optimo_conocido,mejor_solucion,mejor_valor,distancia_al_optimo,iteraciones,evaluaciones,best_values_history,parametros
rosenbrock,Rosenbrock,1,1594,ea,Algoritmo evolutivo,3,"[-2.048, 2.048]","[1.0, 1.0, 1.0]","[0.3124143871799703, 0.08140316525243207, -0.021987255920001836]",1.4247113336600679,1.5365715313737405,120,4840,"[16.556539683991748, 16.556539683991748, 16.556539683991748, 7.111237004638182, 2.655346301211825, 2.655346301211825, 2.655346301211825, 2.655346301211825, 2.655346301211825, 2.655346301211825, 1.494361883752037, 1.494361883752037, 1.494361883752037, 1.494361883752037, 1.494361883752037, 1.494361883752037, 1.494361883752037, 1.494361883752037, 1.494361883752037, 1.494361883752037, 1.494361883752037, 1.494361883752037, 1.494361883752037, 1.494361883752037, 1.494361883752037, 1.494361883752037, 1.494361883752037, 1.494361883752037, 1.494361883752037, 1.494361883752037, 1.494361883752037, 1.494361883752037, 1.494361883752037, 1.494361883752037, 1.494361883752037, 1.494361883752037, 1.494361883752037, 1.494361883752037, 1.494361883752037, 1.494361883752037, 1.494361883752037, 1.494361883752037, 1.494361883752037, 1.494361883752037, 1.494361883752037, 1.494361883752037, 1.494361883752037, 1.494361883752037, 1.494361883752037, 1.494361883752037, 1.494361883752037, 1.494361883752037, 1.4559525549687953, 1.4559525549687953, 1.4559525549687953, 1.4559525549687953, 1.4559525549687953, 1.4559525549687953, 1.4559525549687953, 1.4559525549687953, 1.4559525549687953, 1.4559525549687953, 1.4559525549687953, 1.4559525549687953, 1.4559525549687953, 1.4559525549687953, 1.4559525549687953, 1.4559525549687953, 1.4559525549687953, 1.4559525549687953, 1.4559525549687953, 1.4559525549687953, 1.4559525549687953, 1.4559525549687953, 1.4559525549687953, 1.4559525549687953, 1.4559525549687953, 1.4559525549687953, 1.4559525549687953, 1.4559525549687953, 1.4559525549687953, 1.4559525549687953, 1.4559525549687953, 1.4559525549687953, 1.4559525549687953, 1.4559525549687953, 1.4559525549687953, 1.4559525549687953, 1.4559525549687953, 1.4559525549687953, 1.4559525549687953, 1.4559525549687953, 1.4559525549687953, 1.4559525549687953, 1.4559525549687953, 1.4559525549687953, 1.4559525549687953, 1.4559525549687953, 1.4559525549687953, 1.4559525549687953, 1.4559525549687953, 1.4559525549687953, 1.4559525549687953, 1.4559525549687953, 1.4559525549687953, 1.4559525549687953, 1.4559525549687953, 1.4559525549687953, 1.4559525549687953, 1.4559525549687953, 1.4247113336600679, 1.4247113336600679, 1.4247113336600679, 1.4247113336600679, 1.4247113336600679, 1.4247113336600679, 1.4247113336600679, 1.4247113336600679, 1.4247113336600679, 1.4247113336600679, 1.4247113336600679]","{""elitism_fraction"": 0.2, ""max_iterations"": 120, ""mutation_fraction"": 0.1, ""population_size"": 40}"
rosenbrock,Rosenbrock,2,1595,ea,Algoritmo evolutivo,3,"[-2.048, 2.048]","[1.0, 1.0, 1.0]","[0.8436383671886989, 0.7857596079408484, 0.6246016436505095]",0.6236101799893242,0.4596431569761201,120,4840,"[24.48105310691294, 24.48105310691294, 24.48105310691294, 2.324135395363063, 2.324135395363063, 2.324135395363063, 2.324135395363063, 2.324135395363063, 2.324135395363063, 2.311322962480613, 2.311322962480613, 2.311322962480613, 2.311322962480613, 2.311322962480613, 2.311322962480613, 2.311322962480613, 1.4013461256723354, 1.4013461256723354, 1.4013461256723354, 0.9210014969424364, 0.9210014969424364, 0.9210014969424364, 0.9210014969424364, 0.9210014969424364, 0.9210014969424364, 0.9210014969424364, 0.9210014969424364, 0.9210014969424364, 0.9210014969424364, 0.9210014969424364, 0.9210014969424364, 0.9210014969424364, 0.9210014969424364, 0.9210014969424364, 0.9210014969424364, 0.9210014969424364, 0.9210014969424364, 0.9210014969424364, 0.9210014969424364, 0.9210014969424364, 0.9210014969424364, 0.9210014969424364, 0.9210014969424364, 0.9210014969424364, 0.9210014969424364, 0.9210014969424364, 0.9210014969424364, 0.9210014969424364, 0.9210014969424364, 0.9210014969424364, 0.9210014969424364, 0.9210014969424364, 0.9210014969424364, 0.9210014969424364, 0.9210014969424364, 0.8384379946247783, 0.8384379946247783, 0.8384379946247783, 0.8384379946247783, 0.8384379946247783, 0.8384379946247783, 0.8384379946247783, 0.8384379946247783, 0.8384379946247783, 0.8384379946247783, 0.8384379946247783, 0.8384379946247783, 0.8384379946247783, 0.8384379946247783, 0.8384379946247783, 0.8384379946247783, 0.6236101799893242, 0.6236101799893242, 0.6236101799893242, 0.6236101799893242, 0.6236101799893242, 0.6236101799893242, 0.6236101799893242, 0.6236101799893242, 0.6236101799893242, 0.6236101799893242, 0.6236101799893242, 0.6236101799893242, 0.6236101799893242, 0.6236101799893242, 0.6236101799893242, 0.6236101799893242, 0.6236101799893242, 0.6236101799893242, 0.6236101799893242, 0.6236101799893242, 0.6236101799893242, 0.6236101799893242, 0.6236101799893242, 0.6236101799893242, 0.6236101799893242, 0.6236101799893242, 0.6236101799893242, 0.6236101799893242, 0.6236101799893242, 0.6236101799893242, 0.6236101799893242, 0.6236101799893242, 0.6236101799893242, 0.6236101799893242, 0.6236101799893242, 0.6236101799893242, 0.6236101799893242, 0.6236101799893242, 0.6236101799893242, 0.6236101799893242, 0.6236101799893242, 0.6236101799893242, 0.6236101799893242, 0.6236101799893242, 0.6236101799893242, 0.6236101799893242, 0.6236101799893242, 0.6236101799893242, 0.6236101799893242, 0.6236101799893242]","{""elitism_fraction"": 0.2, ""max_iterations"": 120, ""mutation_fraction"": 0.1, ""population_size"": 40}"
rosenbrock,Rosenbrock,3,1596,ea,Algoritmo evolutivo,3,"[-2.048, 2.048]","[1.0, 1.0, 1.0]","[0.35588114899471046, 0.1317342292893926, -0.00992317384553365]",1.245761980939375,1.4794321072216512,120,4840,"[58.694777414383296, 58.694777414383296, 16.11172778102828, 5.663248790698651, 5.663248790698651, 5.663248790698651, 4.923940832645512, 4.923940832645512, 3.8426709045071785, 2.2690446259585464, 2.2690446259585464, 2.2690446259585464, 2.2690446259585464, 1.8176839090178083, 1.8176839090178083, 1.8176839090178083, 1.8176839090178083, 1.8176839090178083, 1.8176839090178083, 1.4912231668399973, 1.4912231668399973, 1.4912231668399973, 1.4912231668399973, 1.4912231668399973, 1.4912231668399973, 1.4912231668399973, 1.4912231668399973, 1.4912231668399973, 1.4912231668399973, 1.4912231668399973, 1.4912231668399973, 1.4912231668399973, 1.4912231668399973, 1.4912231668399973, 1.4912231668399973, 1.4912231668399973, 1.4912231668399973, 1.4912231668399973, 1.4912231668399973, 1.4912231668399973, 1.4912231668399973, 1.4912231668399973, 1.4912231668399973, 1.4912231668399973, 1.4912231668399973, 1.4912231668399973, 1.4912231668399973, 1.4912231668399973, 1.4912231668399973, 1.4912231668399973, 1.4912231668399973, 1.4912231668399973, 1.4912231668399973, 1.4912231668399973, 1.4912231668399973, 1.4912231668399973, 1.4912231668399973, 1.4912231668399973, 1.4912231668399973, 1.4912231668399973, 1.4912231668399973, 1.4912231668399973, 1.4912231668399973, 1.4912231668399973, 1.4912231668399973, 1.4912231668399973, 1.4912231668399973, 1.4912231668399973, 1.4912231668399973, 1.4912231668399973, 1.4912231668399973, 1.4912231668399973, 1.4912231668399973, 1.4484050585844592, 1.4484050585844592, 1.4484050585844592, 1.4484050585844592, 1.4484050585844592, 1.4484050585844592, 1.4484050585844592, 1.4484050585844592, 1.3221243894418941, 1.3221243894418941, 1.3221243894418941, 1.3221243894418941, 1.3221243894418941, 1.3221243894418941, 1.3221243894418941, 1.3221243894418941, 1.3221243894418941, 1.3221243894418941, 1.2633943807861228, 1.2633943807861228, 1.2633943807861228, 1.2633943807861228, 1.2633943807861228, 1.2633943807861228, 1.2633943807861228, 1.2633943807861228, 1.2633943807861228, 1.2633943807861228, 1.2633943807861228, 1.2633943807861228, 1.2633943807861228, 1.2633943807861228, 1.2633943807861228, 1.2633943807861228, 1.2633943807861228, 1.2633943807861228, 1.2633943807861228, 1.2633943807861228, 1.2633943807861228, 1.2633943807861228, 1.2633943807861228, 1.2633943807861228, 1.2633943807861228, 1.2633943807861228, 1.2633943807861228, 1.245761980939375, 1.245761980939375, 1.245761980939375]","{""elitism_fraction"": 0.2, ""max_iterations"": 120, ""mutation_fraction"": 0.1, ""population_size"": 40}"
rosenbrock,Rosenbrock,4,1597,ea,Algoritmo evolutivo,3,"[-2.048, 2.048]","[1.0, 1.0, 1.0]","[0.8515230574520603, 0.7258208117373948, 0.5130101354501053]",0.11633259426908797,0.5782549246820559,120,4840,"[36.43648910218, 36.43648910218, 36.43648910218, 36.43648910218, 5.230021024545124, 4.146370599417956, 4.146370599417956, 3.8562108826119443, 3.8562108826119443, 3.8562108826119443, 3.8562108826119443, 3.8562108826119443, 3.8562108826119443, 3.8562108826119443, 3.8562108826119443, 3.8562108826119443, 3.7947219979985367, 3.7947219979985367, 3.7947219979985367, 3.7947219979985367, 3.7947219979985367, 3.7947219979985367, 3.7947219979985367, 3.7947219979985367, 2.512218336279359, 2.512218336279359, 2.512218336279359, 2.445663606208778, 2.445663606208778, 2.445663606208778, 2.445663606208778, 2.445663606208778, 2.445663606208778, 2.445663606208778, 2.445663606208778, 2.445663606208778, 2.445663606208778, 2.445663606208778, 2.445663606208778, 2.445663606208778, 2.445663606208778, 2.445663606208778, 2.445663606208778, 2.445663606208778, 2.445663606208778, 2.445663606208778, 1.0225570966107445, 1.0225570966107445, 1.0225570966107445, 1.0225570966107445, 1.0225570966107445, 1.0225570966107445, 1.0225570966107445, 1.0225570966107445, 1.0225570966107445, 1.0225570966107445, 1.0225570966107445, 1.0225570966107445, 1.0225570966107445, 0.5122291401308199, 0.5122291401308199, 0.5122291401308199, 0.5122291401308199, 0.5122291401308199, 0.5122291401308199, 0.5122291401308199, 0.5122291401308199, 0.5122291401308199, 0.5122291401308199, 0.5122291401308199, 0.5122291401308199, 0.5122291401308199, 0.5122291401308199, 0.5122291401308199, 0.5122291401308199, 0.5122291401308199, 0.5122291401308199, 0.5122291401308199, 0.5122291401308199, 0.5122291401308199, 0.5122291401308199, 0.5122291401308199, 0.5122291401308199, 0.5122291401308199, 0.5122291401308199, 0.5122291401308199, 0.5122291401308199, 0.5122291401308199, 0.5122291401308199, 0.5122291401308199, 0.5122291401308199, 0.5122291401308199, 0.5122291401308199, 0.5122291401308199, 0.5122291401308199, 0.5122291401308199, 0.5122291401308199, 0.1495981745453117, 0.1495981745453117, 0.1495981745453117, 0.1495981745453117, 0.1495981745453117, 0.1495981745453117, 0.1495981745453117, 0.1495981745453117, 0.1495981745453117, 0.1495981745453117, 0.1495981745453117, 0.1495981745453117, 0.1495981745453117, 0.1495981745453117, 0.1495981745453117, 0.1495981745453117, 0.1495981745453117, 0.11633259426908797, 0.11633259426908797, 0.11633259426908797, 0.11633259426908797, 0.11633259426908797, 0.11633259426908797, 0.11633259426908797]","{""elitism_fraction"": 0.2, ""max_iterations"": 120, ""mutation_fraction"": 0.1, ""population_size"": 40}"
rosenbrock,Rosenbrock,5,1598,ea,Algoritmo evolutivo,3,"[-2.048, 2.048]","[1.0, 1.0, 1.0]","[0.35501225330647657, 0.1556784567126388, 0.00840508823152275]",1.2418303080656992,1.453323271295507,120,4840,"[7.627120854039798, 7.627120854039798, 4.038434146292435, 3.3636700505540302, 3.3636700505540302, 3.3636700505540302, 3.3636700505540302, 2.0982706173589287, 2.0982706173589287, 2.0982706173589287, 2.0982706173589287, 2.0982706173589287, 1.58723112563279, 1.58723112563279, 1.58723112563279, 1.58723112563279, 1.58723112563279, 1.58723112563279, 1.58723112563279, 1.58723112563279, 1.58723112563279, 1.58723112563279, 1.58723112563279, 1.58723112563279, 1.58723112563279, 1.58723112563279, 1.58723112563279, 1.58723112563279, 1.58723112563279, 1.58723112563279, 1.58723112563279, 1.58723112563279, 1.58723112563279, 1.58723112563279, 1.324528448384799, 1.324528448384799, 1.324528448384799, 1.324528448384799, 1.324528448384799, 1.324528448384799, 1.324528448384799, 1.324528448384799, 1.324528448384799, 1.324528448384799, 1.324528448384799, 1.324528448384799, 1.324528448384799, 1.324528448384799, 1.324528448384799, 1.324528448384799, 1.324528448384799, 1.324528448384799, 1.324528448384799, 1.324528448384799, 1.324528448384799, 1.324528448384799, 1.324528448384799, 1.324528448384799, 1.324528448384799, 1.324528448384799, 1.324528448384799, 1.324528448384799, 1.324528448384799, 1.324528448384799, 1.324528448384799, 1.324528448384799, 1.324528448384799, 1.324528448384799, 1.324528448384799, 1.324528448384799, 1.324528448384799, 1.324528448384799, 1.324528448384799, 1.324528448384799, 1.324528448384799, 1.324528448384799, 1.324528448384799, 1.324528448384799, 1.324528448384799, 1.324528448384799, 1.324528448384799, 1.324528448384799, 1.324528448384799, 1.324528448384799, 1.324528448384799, 1.324528448384799, 1.324528448384799, 1.324528448384799, 1.324528448384799, 1.324528448384799, 1.324528448384799, 1.324528448384799, 1.324528448384799, 1.324528448384799, 1.324528448384799, 1.324528448384799, 1.324528448384799, 1.324528448384799, 1.324528448384799, 1.324528448384799, 1.324528448384799, 1.324528448384799, 1.324528448384799, 1.2536388909906369, 1.2536388909906369, 1.2536388909906369, 1.2536388909906369, 1.2536388909906369, 1.2536388909906369, 1.2536388909906369, 1.2536388909906369, 1.2536388909906369, 1.2536388909906369, 1.2536388909906369, 1.2418303080656992, 1.2418303080656992, 1.2418303080656992, 1.2418303080656992, 1.2418303080656992, 1.2418303080656992, 1.2418303080656992]","{""elitism_fraction"": 0.2, ""max_iterations"": 120, ""mutation_fraction"": 0.1, ""population_size"": 40}"
rosenbrock,Rosenbrock,6,1599,ea,Algoritmo evolutivo,3,"[-2.048, 2.048]","[1.0, 1.0, 1.0]","[0.4754829055034193, 0.2184897675637698, 0.05797474293310101]",0.9021231964851739,1.3316486063423874,120,4840,"[33.59065047236109, 3.4310137680307466, 3.4310137680307466, 3.4310137680307466, 3.4310137680307466, 3.4310137680307466, 3.4310137680307466, 3.4310137680307466, 3.4310137680307466, 3.4310137680307466, 3.4310137680307466, 1.1932318824294799, 1.1932318824294799, 1.1932318824294799, 1.1932318824294799, 1.1932318824294799, 1.1932318824294799, 1.1932318824294799, 1.1932318824294799, 1.1932318824294799, 1.1932318824294799, 1.1932318824294799, 1.1932318824294799, 1.1932318824294799, 1.1932318824294799, 1.1932318824294799, 1.1932318824294799, 1.1932318824294799, 1.1932318824294799, 1.1932318824294799, 1.1932318824294799, 1.1932318824294799, 1.1932318824294799, 1.1932318824294799, 1.1932318824294799, 1.1932318824294799, 1.1932318824294799, 1.1932318824294799, 1.1932318824294799, 1.1932318824294799, 1.1932318824294799, 1.1932318824294799, 1.1932318824294799, 1.1932318824294799, 1.1932318824294799, 1.1932318824294799, 1.1932318824294799, 1.1932318824294799, 1.1932318824294799, 1.1932318824294799, 1.1932318824294799, 1.1932318824294799, 1.1932318824294799, 1.1932318824294799, 1.1932318824294799, 1.1932318824294799, 1.1932318824294799, 1.1932318824294799, 1.1932318824294799, 1.1932318824294799, 1.1932318824294799, 1.1932318824294799, 1.1932318824294799, 1.1932318824294799, 1.1932318824294799, 1.1932318824294799, 1.1932318824294799, 1.1932318824294799, 1.1932318824294799, 1.1932318824294799, 1.1932318824294799, 1.1932318824294799, 1.1932318824294799, 1.1932318824294799, 1.1932318824294799, 1.1932318824294799, 1.1932318824294799, 1.1932318824294799, 1.1932318824294799, 1.1932318824294799, 1.1932318824294799, 1.1932318824294799, 1.1932318824294799, 1.1932318824294799, 1.1932318824294799, 1.1932318824294799, 1.1932318824294799, 1.1932318824294799, 1.1932318824294799, 1.1932318824294799, 1.1932318824294799, 1.1932318824294799, 1.1932318824294799, 1.1932318824294799, 1.1932318824294799, 1.1932318824294799, 1.1932318824294799, 1.1932318824294799, 1.1932318824294799, 1.1932318824294799, 1.1932318824294799, 1.1932318824294799, 1.1932318824294799, 1.1932318824294799, 1.1932318824294799, 1.1932318824294799, 1.1932318824294799, 1.1932318824294799, 0.9021231964851739, 0.9021231964851739, 0.9021231964851739, 0.9021231964851739, 0.9021231964851739, 0.9021231964851739, 0.9021231964851739, 0.9021231964851739, 0.9021231964851739, 0.9021231964851739, 0.9021231964851739, 0.9021231964851739, 0.9021231964851739]","{""elitism_fraction"": 0.2, ""max_iterations"": 120, ""mutation_fraction"": 0.1, ""population_size"": 40}"
rosenbrock,Rosenbrock,7,1600,ea,Algoritmo evolutivo,3,"[-2.048, 2.048]","[1.0, 1.0, 1.0]","[0.2572150534901967, 0.06554383483655135, 0.00645898339561457]",1.4254435682342301,1.5530813092201017,120,4840,"[3.193129789145205, 3.193129789145205, 3.193129789145205, 2.990042567932434, 2.990042567932434, 2.990042567932434, 2.990042567932434, 2.990042567932434, 2.990042567932434, 2.990042567932434, 2.990042567932434, 2.990042567932434, 2.990042567932434, 2.990042567932434, 2.4296414434272045, 2.4296414434272045, 2.4296414434272045, 2.4296414434272045, 2.4296414434272045, 2.4296414434272045, 2.4296414434272045, 2.4296414434272045, 2.4296414434272045, 2.4296414434272045, 2.4296414434272045, 2.4296414434272045, 2.4296414434272045, 2.4296414434272045, 2.4296414434272045, 2.4296414434272045, 2.4296414434272045, 2.4296414434272045, 2.4296414434272045, 1.8925424719751285, 1.8925424719751285, 1.8925424719751285, 1.8925424719751285, 1.8925424719751285, 1.7744888088010766, 1.7744888088010766, 1.5033015019688314, 1.5033015019688314, 1.5033015019688314, 1.5033015019688314, 1.5033015019688314, 1.5033015019688314, 1.5033015019688314, 1.5033015019688314, 1.5033015019688314, 1.5033015019688314, 1.5033015019688314, 1.5033015019688314, 1.5033015019688314, 1.5033015019688314, 1.5033015019688314, 1.5033015019688314, 1.5033015019688314, 1.5033015019688314, 1.5033015019688314, 1.5033015019688314, 1.5033015019688314, 1.5033015019688314, 1.5033015019688314, 1.5033015019688314, 1.5033015019688314, 1.5033015019688314, 1.5033015019688314, 1.5033015019688314, 1.5033015019688314, 1.5033015019688314, 1.5033015019688314, 1.5033015019688314, 1.5033015019688314, 1.5033015019688314, 1.5033015019688314, 1.5033015019688314, 1.5033015019688314, 1.5033015019688314, 1.5033015019688314, 1.5033015019688314, 1.5033015019688314, 1.5033015019688314, 1.5033015019688314, 1.5033015019688314, 1.5033015019688314, 1.5033015019688314, 1.5033015019688314, 1.5033015019688314, 1.5033015019688314, 1.5033015019688314, 1.5033015019688314, 1.5033015019688314, 1.5033015019688314, 1.5033015019688314, 1.5033015019688314, 1.5033015019688314, 1.5033015019688314, 1.4829671026478026, 1.4829671026478026, 1.4829671026478026, 1.4342279003228529, 1.4342279003228529, 1.4342279003228529, 1.4342279003228529, 1.4342279003228529, 1.43303488841876, 1.43303488841876, 1.43303488841876, 1.43303488841876, 1.43303488841876, 1.43303488841876, 1.43303488841876, 1.43303488841876, 1.43303488841876, 1.43303488841876, 1.43303488841876, 1.43303488841876, 1.43303488841876, 1.43303488841876, 1.43303488841876, 1.4254435682342301]","{""elitism_fraction"": 0.2, ""max_iterations"": 120, ""mutation_fraction"": 0.1, ""population_size"": 40}"
rosenbrock,Rosenbrock,8,1601,ea,Algoritmo evolutivo,3,"[-2.048, 2.048]","[1.0, 1.0, 1.0]","[0.9091944335159328, 0.8354796270936702, 0.7050602819899159]",0.048084020296607,0.3497170874658516,120,4840,"[42.8962741431869, 42.8962741431869, 41.314261759498606, 8.187995177744929, 8.187995177744929, 8.187995177744929, 1.2680861571065605, 1.2680861571065605, 1.2680861571065605, 1.2680861571065605, 1.2680861571065605, 1.2680861571065605, 1.2680861571065605, 1.2680861571065605, 1.2680861571065605, 1.2680861571065605, 0.220148815977235, 0.220148815977235, 0.220148815977235, 0.220148815977235, 0.220148815977235, 0.220148815977235, 0.220148815977235, 0.220148815977235, 0.220148815977235, 0.08647039864735934, 0.08647039864735934, 0.08647039864735934, 0.08647039864735934, 0.08647039864735934, 0.08647039864735934, 0.08647039864735934, 0.08647039864735934, 0.08647039864735934, 0.08647039864735934, 0.08647039864735934, 0.08647039864735934, 0.08647039864735934, 0.08647039864735934, 0.08647039864735934, 0.08647039864735934, 0.08647039864735934, 0.08647039864735934, 0.08647039864735934, 0.08647039864735934, 0.08647039864735934, 0.08647039864735934, 0.08647039864735934, 0.06517866767446008, 0.06517866767446008, 0.06517866767446008, 0.06517866767446008, 0.06517866767446008, 0.06517866767446008, 0.06517866767446008, 0.06517866767446008, 0.06517866767446008, 0.06517866767446008, 0.06517866767446008, 0.06517866767446008, 0.06517866767446008, 0.06517866767446008, 0.06517866767446008, 0.06517866767446008, 0.06517866767446008, 0.06517866767446008, 0.06517866767446008, 0.06517866767446008, 0.06517866767446008, 0.06517866767446008, 0.06517866767446008, 0.06517866767446008, 0.06517866767446008, 0.06517866767446008, 0.06517866767446008, 0.06517866767446008, 0.06517866767446008, 0.06517866767446008, 0.06517866767446008, 0.06517866767446008, 0.06517866767446008, 0.06517866767446008, 0.06517866767446008, 0.048084020296607, 0.048084020296607, 0.048084020296607, 0.048084020296607, 0.048084020296607, 0.048084020296607, 0.048084020296607, 0.048084020296607, 0.048084020296607, 0.048084020296607, 0.048084020296607, 0.048084020296607, 0.048084020296607, 0.048084020296607, 0.048084020296607, 0.048084020296607, 0.048084020296607, 0.048084020296607, 0.048084020296607, 0.048084020296607, 0.048084020296607, 0.048084020296607, 0.048084020296607, 0.048084020296607, 0.048084020296607, 0.048084020296607, 0.048084020296607, 0.048084020296607, 0.048084020296607, 0.048084020296607, 0.048084020296607, 0.048084020296607, 0.048084020296607, 0.048084020296607, 0.048084020296607, 0.048084020296607, 0.048084020296607, 0.048084020296607]","{""elitism_fraction"": 0.2, ""max_iterations"": 120, ""mutation_fraction"": 0.1, ""population_size"": 40}"
rosenbrock,Rosenbrock,9,1602,ea,Algoritmo evolutivo,3,"[-2.048, 2.048]","[1.0, 1.0, 1.0]","[0.8310747589726457, 0.6945413490733192, 0.4853770285933181]",0.12422128780077467,0.6218340029151993,120,4840,"[67.46228132964555, 26.022343699272472, 26.022343699272472, 7.700740281966271, 7.700740281966271, 7.700740281966271, 5.501176798282812, 5.501176798282812, 5.501176798282812, 5.501176798282812, 5.501176798282812, 5.501176798282812, 1.270836788316564, 1.270836788316564, 1.270836788316564, 1.270836788316564, 0.5067316047575423, 0.5067316047575423, 0.5067316047575423, 0.5067316047575423, 0.5067316047575423, 0.5067316047575423, 0.5067316047575423, 0.5067316047575423, 0.5067316047575423, 0.5067316047575423, 0.5067316047575423, 0.5067316047575423, 0.5067316047575423, 0.5067316047575423, 0.5067316047575423, 0.5067316047575423, 0.5067316047575423, 0.5067316047575423, 0.5067316047575423, 0.5067316047575423, 0.4254326095269842, 0.4254326095269842, 0.4254326095269842, 0.4254326095269842, 0.4254326095269842, 0.4254326095269842, 0.4254326095269842, 0.4254326095269842, 0.4254326095269842, 0.4254326095269842, 0.4254326095269842, 0.4254326095269842, 0.4254326095269842, 0.1630168636558203, 0.1630168636558203, 0.1630168636558203, 0.1630168636558203, 0.13801702966520343, 0.13801702966520343, 0.13801702966520343, 0.13801702966520343, 0.13801702966520343, 0.13801702966520343, 0.13801702966520343, 0.13801702966520343, 0.13801702966520343, 0.13801702966520343, 0.13801702966520343, 0.13801702966520343, 0.13801702966520343, 0.13801702966520343, 0.13801702966520343, 0.13801702966520343, 0.13801702966520343, 0.13801702966520343, 0.13801702966520343, 0.13801702966520343, 0.13801702966520343, 0.13801702966520343, 0.13801702966520343, 0.13801702966520343, 0.13801702966520343, 0.13801702966520343, 0.13801702966520343, 0.13801702966520343, 0.13801702966520343, 0.13801702966520343, 0.13801702966520343, 0.13801702966520343, 0.13801702966520343, 0.13801702966520343, 0.13801702966520343, 0.13801702966520343, 0.13801702966520343, 0.13801702966520343, 0.13801702966520343, 0.13801702966520343, 0.13801702966520343, 0.13801702966520343, 0.13801702966520343, 0.13801702966520343, 0.13801702966520343, 0.13801702966520343, 0.13801702966520343, 0.13801702966520343, 0.12422128780077467, 0.12422128780077467, 0.12422128780077467, 0.12422128780077467, 0.12422128780077467, 0.12422128780077467, 0.12422128780077467, 0.12422128780077467, 0.12422128780077467, 0.12422128780077467, 0.12422128780077467, 0.12422128780077467, 0.12422128780077467, 0.12422128780077467, 0.12422128780077467, 0.12422128780077467, 0.12422128780077467, 0.12422128780077467, 0.12422128780077467, 0.12422128780077467]","{""elitism_fraction"": 0.2, ""max_iterations"": 120, ""mutation_fraction"": 0.1, ""population_size"": 40}"
rosenbrock,Rosenbrock,10,1642,ea,Algoritmo evolutivo,3,"[-2.048, 2.048]","[1.0, 1.0, 1.0]","[0.4215926267035468, 0.1737131021328664, 0.038862878658037836]",1.0264727597817442,1.3932299498259815,120,4840,"[5.990666808579185, 5.990666808579185, 5.990666808579185, 5.990666808579185, 5.990666808579185, 5.990666808579185, 5.990666808579185, 3.34905288400725, 2.5516261769612774, 2.337271704565774, 1.7285811314023625, 1.666748146378496, 1.666748146378496, 1.666748146378496, 1.666748146378496, 1.666748146378496, 1.246074350976829, 1.246074350976829, 1.246074350976829, 1.246074350976829, 1.246074350976829, 1.246074350976829, 1.246074350976829, 1.246074350976829, 1.246074350976829, 1.246074350976829, 1.246074350976829, 1.246074350976829, 1.246074350976829, 1.246074350976829, 1.246074350976829, 1.246074350976829, 1.246074350976829, 1.246074350976829, 1.246074350976829, 1.246074350976829, 1.246074350976829, 1.246074350976829, 1.246074350976829, 1.246074350976829, 1.246074350976829, 1.246074350976829, 1.246074350976829, 1.246074350976829, 1.246074350976829, 1.246074350976829, 1.246074350976829, 1.246074350976829, 1.246074350976829, 1.246074350976829, 1.246074350976829, 1.246074350976829, 1.246074350976829, 1.246074350976829, 1.246074350976829, 1.246074350976829, 1.246074350976829, 1.246074350976829, 1.246074350976829, 1.246074350976829, 1.246074350976829, 1.246074350976829, 1.246074350976829, 1.246074350976829, 1.246074350976829, 1.246074350976829, 1.246074350976829, 1.246074350976829, 1.246074350976829, 1.246074350976829, 1.246074350976829, 1.246074350976829, 1.246074350976829, 1.1307361778305185, 1.1307361778305185, 1.1307361778305185, 1.1307361778305185, 1.1307361778305185, 1.1307361778305185, 1.1307361778305185, 1.1307361778305185, 1.1307361778305185, 1.1307361778305185, 1.1307361778305185, 1.1307361778305185, 1.1307361778305185, 1.1307361778305185, 1.1307361778305185, 1.1307361778305185, 1.1307361778305185, 1.0264727597817442, 1.0264727597817442, 1.0264727597817442, 1.0264727597817442, 1.0264727597817442, 1.0264727597817442, 1.0264727597817442, 1.0264727597817442, 1.0264727597817442, 1.0264727597817442, 1.0264727597817442, 1.0264727597817442, 1.0264727597817442, 1.0264727597817442, 1.0264727597817442, 1.0264727597817442, 1.0264727597817442, 1.0264727597817442, 1.0264727597817442, 1.0264727597817442, 1.0264727597817442, 1.0264727597817442, 1.0264727597817442, 1.0264727597817442, 1.0264727597817442, 1.0264727597817442, 1.0264727597817442, 1.0264727597817442, 1.0264727597817442, 1.0264727597817442, 1.0264727597817442]","{""elitism_fraction"": 0.2, ""max_iterations"": 120, ""mutation_fraction"": 0.1, ""population_size"": 40}"
