funcion,nombre_funcion,corrida,semilla,metodo,dimension,limites,posicion_inicial,posicion_final,valor_final,iteraciones,evaluaciones,parametros
rastrigin,Rastrigin,1,2140,gradient,2,"[-5.12, 5.12]","[2.7755954831752785, -1.2794610618200308]","[2.98485501995408, -0.9949596166466498]",9.949560298861972,26,28,"{""max_iterations"": 1000, ""rate"": 0.001, ""tolerance"": 1e-06}"
rastrigin,Rastrigin,2,2141,gradient,2,"[-5.12, 5.12]","[-1.4773613777785513, 1.140116327784754]","[-0.9949598205120276, 0.994958653274631]",1.989918114464075,32,34,"{""max_iterations"": 1000, ""rate"": 0.001, ""tolerance"": 1e-06}"
rastrigin,Rastrigin,3,2142,gradient,2,"[-5.12, 5.12]","[-4.474197270769645, 3.6131978824550055]","[-3.9797849426974716, 3.9797834971498567]",31.838487585179585,31,33,"{""max_iterations"": 1000, ""rate"": 0.001, ""tolerance"": 1e-06}"
rastrigin,Rastrigin,4,2143,gradient,2,"[-5.12, 5.12]","[1.4664437868033504, -4.205838849394761]","[0.9949598622460826, -3.979783911186147]",16.9142028498527,31,33,"{""max_iterations"": 1000, ""rate"": 0.001, ""tolerance"": 1e-06}"
rastrigin,Rastrigin,5,2144,gradient,2,"[-5.12, 5.12]","[0.6118463151021514, -2.7410940323531907]","[0.9949574320422145, -2.984855363250247]",9.949560298891054,28,30,"{""max_iterations"": 1000, ""rate"": 0.001, ""tolerance"": 1e-06}"
rastrigin,Rastrigin,6,2145,gradient,2,"[-5.12, 5.12]","[-3.5803820858644233, 0.5183951160153626]","[-3.9797837019797635, 0.9949574845489154]",16.91420284982342,34,36,"{""max_iterations"": 1000, ""rate"": 0.001, ""tolerance"": 1e-06}"
rastrigin,Rastrigin,7,2146,gradient,2,"[-5.12, 5.12]","[2.6148190293739138, 5.108870613604377]","[2.9848543024567715, 4.974691512642628]",33.82832417641846,28,30,"{""max_iterations"": 1000, ""rate"": 0.001, ""tolerance"": 1e-06}"
rastrigin,Rastrigin,8,2147,gradient,2,"[-5.12, 5.12]","[1.4496238305043576, 1.9443367891920298]","[0.9949598384021295, 1.9899122210413418]",4.974790247933312,30,32,"{""max_iterations"": 1000, ""rate"": 0.001, ""tolerance"": 1e-06}"
rastrigin,Rastrigin,9,2148,gradient,2,"[-5.12, 5.12]","[3.880610184809332, 2.585045547911644]","[3.979783803447534, 2.984854234703958]",24.873845034373833,29,31,"{""max_iterations"": 1000, ""rate"": 0.001, ""tolerance"": 1e-06}"
rastrigin,Rastrigin,10,2188,gradient,2,"[-5.12, 5.12]","[-0.5909230168947639, -4.6237357634068035]","[-0.9949576172157854, -4.974690432700608]",25.868681992021862,29,31,"{""max_iterations"": 1000, ""rate"": 0.001, ""tolerance"": 1e-06}"
rastrigin,Rastrigin,11,2189,gradient,2,"[-5.12, 5.12]","[1.2594346718116904, 3.14241845396269]","[0.9949600180928531, 2.984856304461103]",9.949560299030086,25,27,"{""max_iterations"": 1000, ""rate"": 0.001, ""tolerance"": 1e-06}"
rastrigin,Rastrigin,12,2190,gradient,2,"[-5.12, 5.12]","[4.571052976593816, -3.3446680872339107]","[4.974690244300964, -2.9848558430624577]",33.828324176290764,31,33,"{""max_iterations"": 1000, ""rate"": 0.001, ""tolerance"": 1e-06}"
rastrigin,Rastrigin,13,2191,gradient,2,"[-5.12, 5.12]","[1.1651901575101258, 0.8826814479900991]","[0.9949597349579862, 0.9949579604413007]",1.9899181145162839,24,26,"{""max_iterations"": 1000, ""rate"": 0.001, ""tolerance"": 1e-06}"
rastrigin,Rastrigin,14,2192,gradient,2,"[-5.12, 5.12]","[-4.188915575122203, 3.048359378384643]","[-3.979784769392561, 2.9848559223236713]",24.873845034120862,25,27,"{""max_iterations"": 1000, ""rate"": 0.001, ""tolerance"": 1e-06}"
rastrigin,Rastrigin,15,2193,gradient,2,"[-5.12, 5.12]","[5.112702735250417, 0.09211610175106255]","[4.974692309602916, 5.257436165265502e-07]",24.873722934762412,24,26,"{""max_iterations"": 1000, ""rate"": 0.001, ""tolerance"": 1e-06}"
rastrigin,Rastrigin,16,2194,gradient,2,"[-5.12, 5.12]","[1.1492268388793203, -4.077335604269637]","[0.9949595989803598, -3.979784456470309]",16.91420284980802,24,26,"{""max_iterations"": 1000, ""rate"": 0.001, ""tolerance"": 1e-06}"
rastrigin,Rastrigin,17,2195,gradient,2,"[-5.12, 5.12]","[-4.77270281365739, -4.220617646942238]","[-4.97469059653605, -3.979784548171002]",40.792966727220495,26,28,"{""max_iterations"": 1000, ""rate"": 0.001, ""tolerance"": 1e-06}"
rastrigin,Rastrigin,18,2196,gradient,2,"[-5.12, 5.12]","[4.407337484546232, -3.858631711137389]","[3.9797851639863993, -3.9797837399339904]",31.838487585260403,28,30,"{""max_iterations"": 1000, ""rate"": 0.001, ""tolerance"": 1e-06}"
rastrigin,Rastrigin,19,2197,gradient,2,"[-5.12, 5.12]","[-2.0564115806261225, 3.5996234429140648]","[-1.9899122636700122, 3.9797825965991036]",19.899074983330078,29,31,"{""max_iterations"": 1000, ""rate"": 0.001, ""tolerance"": 1e-06}"
rastrigin,Rastrigin,20,2189,gradient,2,"[-5.12, 5.12]","[1.2594346718116904, 3.14241845396269]","[0.9949600180928531, 2.984856304461103]",9.949560299030086,25,27,"{""max_iterations"": 1000, ""rate"": 0.001, ""tolerance"": 1e-06}"
rastrigin,Rastrigin,21,2190,gradient,2,"[-5.12, 5.12]","[4.571052976593816, -3.3446680872339107]","[4.974690244300964, -2.9848558430624577]",33.828324176290764,31,33,"{""max_iterations"": 1000, ""rate"": 0.001, ""tolerance"": 1e-06}"
